Course,Cred_hours,Pre-req,Pred_1,Instructor_1,Pred_2,Instructor_2,Pred_3,Instructor_3,Pred_4,Instructor_4,Pred_5,Instructor_5,Pred_6,Instructor_6,Pred_7,Instructor_7,Pred_8,Instructor_8,Pred_9,Instructor_9,Pred_10,Instructor_10,Pred_11,Instructor_11,Pred_12,Instructor_12,Pred_13,Instructor_13,Pred_14,Instructor_14,Pred_15,Instructor_15,Pred_16,Instructor_16,Pred_17,Instructor_17,Pred_18,Instructor_18
AE 3125,3.0,,2.805,Unknown,2.855,"Hanagud, Sathyanaraya",3.3114611883053118,"Kardomateas, George",2.805,Unknown,2.855,"Hanagud, Sathyanaraya",3.350386274094813,"Kardomateas, George",2.805,Unknown,2.855,"Hanagud, Sathyanaraya",3.275761272,"Kardomateas, George",2.805,Unknown,2.855,"Hanagud, Sathyanaraya",3.336359596031482,"Kardomateas, George",2.805,Unknown,2.855,"Hanagud, Sathyanaraya",3.3571821567638462,"Kardomateas, George",2.805,Unknown,2.855,"Hanagud, Sathyanaraya",3.305289177206869,"Kardomateas, George"
AE 3140,3.0,,3.0866146834258514,"Prasad, J",3.1205139449154395,"McColl, Chance",3.2606234924684814,"Kardomateas, George",3.0873058106392954,"Prasad, J",3.147085311480005,"McColl, Chance",3.266550930913209,"Kardomateas, George",3.088837855,"Prasad, J",3.0251583172689243,"McColl, Chance",3.2891704150279977,"Kardomateas, George",3.089027199920042,"Prasad, J",3.0759345636242257,"McColl, Chance",3.302138549856445,"Kardomateas, George",3.0889731789727257,"Prasad, J",3.1208958201998263,"McColl, Chance",3.3035932578252747,"Kardomateas, George",3.0889550647863318,"Prasad, J",3.066051026939548,"McColl, Chance",3.300511188849665,"Kardomateas, George"
AE 3145,3.0,,3.56,Unknown,3.625555555555556,"Kennedy, Graeme",3.230311746234241,"Rimoli, Julian",3.56,Unknown,3.625555555555556,"Kennedy, Graeme",3.2332754654566047,"Rimoli, Julian",3.56,Unknown,3.625555555555556,"Kennedy, Graeme",3.2445852075139987,"Rimoli, Julian",3.56,Unknown,3.625555555555556,"Kennedy, Graeme",3.2510692749282226,"Rimoli, Julian",3.56,Unknown,3.625555555555556,"Kennedy, Graeme",3.251796628912637,"Rimoli, Julian",3.56,Unknown,3.625555555555556,"Kennedy, Graeme",3.250255594424833,"Rimoli, Julian"
AE 3310,3.0,,2.97,"Schrage, Daniel",3.513333333333333,"Sirirojvisuth, Apinut",3.2,"Sankar, Narayanamoorthy",2.97,"Schrage, Daniel",3.513333333333333,"Sirirojvisuth, Apinut",3.2,"Sankar, Narayanamoorthy",2.97,"Schrage, Daniel",3.513333333333333,"Sirirojvisuth, Apinut",3.2,"Sankar, Narayanamoorthy",2.97,"Schrage, Daniel",3.513333333333333,"Sirirojvisuth, Apinut",3.2,"Sankar, Narayanamoorthy",2.97,"Schrage, Daniel",3.513333333333333,"Sirirojvisuth, Apinut",3.2,"Sankar, Narayanamoorthy",2.97,"Schrage, Daniel",3.513333333333333,"Sirirojvisuth, Apinut",3.2,"Sankar, Narayanamoorthy"
AE 3330,3.0,,3.2445477598330603,"Johnson, Carl",3.3071475347905364,"Dec, John",3.656897107,"Dec, John",3.241810704,"Johnson, Carl",3.320062756843565,"Dec, John",3.5703219366004664,"Dec, John",3.2436222512469786,"Johnson, Carl",3.315431839202575,"Dec, John",3.5750040626848434,"Dec, John",3.242385701439673,"Johnson, Carl",3.317366895270034,"Dec, John",3.626373429238309,"Dec, John",3.2432269382396117,"Johnson, Carl",3.3166103557979154,"Dec, John",3.628447131337426,"Dec, John",3.242654430866044,"Johnson, Carl",3.3169145980933585,"Dec, John",3.598423133,"Dec, John"
AE 3340,2.0,,3.8435804155698343,"Garcia, Elena",3.865943573311197,"Garcia, Elena",3.696882567823647,"Garcia, Elena",3.825326381122229,"Garcia, Elena",3.866965169698575,"Garcia, Elena",3.496117602183792,"Garcia, Elena",3.844418570581566,"Garcia, Elena",3.864263849095265,"Garcia, Elena",3.608741892719271,"Garcia, Elena",3.850255313237896,"Garcia, Elena",3.864569952395869,"Garcia, Elena",3.5455406103497267,"Garcia, Elena",3.8445054590707417,"Garcia, Elena",3.8635743544105385,"Garcia, Elena",3.581006110026078,"Garcia, Elena",3.842644036353365,"Garcia, Elena",3.863661001952889,"Garcia, Elena",3.5611045318637027,"Garcia, Elena"
AE 3355,3.0,,3.899999999999999,Unknown,3.9316679804707455,"Johnson, Carl",3.4800082035205597,"Johnson, Carl",3.899999999999999,Unknown,3.938703224,"Johnson, Carl",3.3787305134117704,"Johnson, Carl",3.899999999999999,Unknown,3.9382301783787823,"Johnson, Carl",3.4345056827110225,"Johnson, Carl",3.899999999999999,Unknown,3.9375609984091247,"Johnson, Carl",3.4029793861049344,"Johnson, Carl",3.899999999999999,Unknown,3.937683834636687,"Johnson, Carl",3.420856903191951,"Johnson, Carl",3.899999999999999,Unknown,3.937738842023189,"Johnson, Carl",3.4109252516813147,"Johnson, Carl"
AE 3450,3.0,,2.9133333333333336,"Seitzman, Jerry",3.0075,"Sun, Wenting",3.263133839217472,"Yu, Min-Feng",2.9133333333333336,"Seitzman, Jerry",3.0075,"Sun, Wenting",3.261343424639749,"Yu, Min-Feng",2.9133333333333336,"Seitzman, Jerry",3.0075,"Sun, Wenting",3.260269472702774,"Yu, Min-Feng",2.9133333333333336,"Seitzman, Jerry",3.0075,"Sun, Wenting",3.260418161860142,"Yu, Min-Feng",2.9133333333333336,"Seitzman, Jerry",3.0075,"Sun, Wenting",3.260707696357824,"Yu, Min-Feng",2.9133333333333336,"Seitzman, Jerry",3.0075,"Sun, Wenting",3.260745971498926,"Yu, Min-Feng"
AE 3515,3.0,,2.32,"Pritchett, Amy",2.606666666666667,"Theodorou, Evangelos",3.0,"Theodorou, Evangelos",2.32,"Pritchett, Amy",2.606666666666667,"Theodorou, Evangelos",3.0,"Theodorou, Evangelos",2.32,"Pritchett, Amy",2.606666666666667,"Theodorou, Evangelos",3.0,"Theodorou, Evangelos",2.32,"Pritchett, Amy",2.606666666666667,"Theodorou, Evangelos",3.0,"Theodorou, Evangelos",2.32,"Pritchett, Amy",2.606666666666667,"Theodorou, Evangelos",3.0,"Theodorou, Evangelos",2.32,"Pritchett, Amy",2.606666666666667,"Theodorou, Evangelos",3.0,"Theodorou, Evangelos"
AE 3521,3.0,,3.135,"Ashok, Sylvester",2.96,"Johnson, Eric",2.69357929235872,"Feigh, Karen",3.135,"Ashok, Sylvester",2.96,"Johnson, Eric",2.6859296047157795,"Feigh, Karen",3.135,"Ashok, Sylvester",2.96,"Johnson, Eric",2.687647166880935,"Feigh, Karen",3.135,"Ashok, Sylvester",2.96,"Johnson, Eric",2.689759644264906,"Feigh, Karen",3.135,"Ashok, Sylvester",2.96,"Johnson, Eric",2.689010639889148,"Feigh, Karen",3.135,"Ashok, Sylvester",2.96,"Johnson, Eric",2.688457480705726,"Feigh, Karen"
AE 3530,3.0,,3.190992494378101,"Prasad, J",3.5083884773771854,"Tsiotras, Panagiotis",3.1448365642115115,"Theodorou, Evangelos",3.3223664272352984,"Prasad, J",3.0370486375845016,"Tsiotras, Panagiotis",3.281667484265152,"Theodorou, Evangelos",3.2266378612393654,"Prasad, J",3.588202222912439,"Tsiotras, Panagiotis",3.2932145140003293,"Theodorou, Evangelos",3.2575761038568265,"Prasad, J",3.1974777169799533,"Tsiotras, Panagiotis",3.240765193490727,"Theodorou, Evangelos",3.2768506999257534,"Prasad, J",3.309727488858233,"Tsiotras, Panagiotis",3.236799926529865,"Theodorou, Evangelos",3.239084068959413,"Prasad, J",3.453894655464468,"Tsiotras, Panagiotis",3.256900552804666,"Theodorou, Evangelos"
AE 3531,3.0,,3.552292255268801,"Prasad, J",3.7720453687093167,"Griendling, Kelly",3.3576566485984287,"Griendling, Kelly",3.286052295079229,"Prasad, J",3.779619299231333,"Griendling, Kelly",3.674962412,"Griendling, Kelly",3.5257467575829304,"Prasad, J",3.7770687377277103,"Griendling, Kelly",2.949790173840705,"Griendling, Kelly",3.3099575247012583,"Prasad, J",3.777282536280999,"Griendling, Kelly",3.1544515401843807,"Griendling, Kelly",3.504227788348318,"Prasad, J",3.777544613608435,"Griendling, Kelly",3.601718617335929,"Griendling, Kelly",3.329331286,"Prasad, J",3.777377647187696,"Griendling, Kelly",3.1573802792673358,"Griendling, Kelly"
AE 3610,2.0,,3.5351579781351385,"Kennedy, Graeme",3.876810369788456,"Jagoda, Jechiel",4.0,"Jagoda, Jechiel",3.569468078999753,"Kennedy, Graeme",3.917336475099405,"Jagoda, Jechiel",4.0,"Jagoda, Jechiel",3.5496739665742574,"Kennedy, Graeme",3.95690351012942,"Jagoda, Jechiel",4.0,"Jagoda, Jechiel",3.553313703716499,"Kennedy, Graeme",3.990613763729716,"Jagoda, Jechiel",4.0,"Jagoda, Jechiel",3.5585751258356777,"Kennedy, Graeme",4.0,"Jagoda, Jechiel",4.0,"Jagoda, Jechiel",3.551996057878916,"Kennedy, Graeme",4.0,"Jagoda, Jechiel",4.0,"Jagoda, Jechiel"
AE 3801,1.0,,2.3749853922715687,"Gunter, Brian",3.411633049636698,"Smith, Marilyn",4.0,"Yu, Min-Feng",2.3749847623705493,"Gunter, Brian",3.408852272717556,"Smith, Marilyn",4.0,"Yu, Min-Feng",2.374984770363446,"Gunter, Brian",3.409347018858662,"Smith, Marilyn",4.0,"Yu, Min-Feng",2.3749847433484903,"Gunter, Brian",3.409257792934541,"Smith, Marilyn",4.0,"Yu, Min-Feng",2.3749847438621217,"Gunter, Brian",3.409273839,"Smith, Marilyn",4.0,"Yu, Min-Feng",2.374984743,"Gunter, Brian",3.409270951317055,"Smith, Marilyn",4.0,"Yu, Min-Feng"
AE 3802,2.0,,2.85533922313676,Unknown,3.5,Unknown,3.8133333333333335,"Sun, Wenting",2.9903414877605385,Unknown,3.5,Unknown,3.8133333333333335,"Sun, Wenting",2.905123947,Unknown,3.5,Unknown,3.8133333333333335,"Sun, Wenting",2.824323259054105,Unknown,3.5,Unknown,3.8133333333333335,"Sun, Wenting",2.888862188724855,Unknown,3.5,Unknown,3.8133333333333335,"Sun, Wenting",2.9358612091358958,Unknown,3.5,Unknown,3.8133333333333335,"Sun, Wenting"
